,station_name,total_departures,latitude,longitude
199,44 Dr & Jackson Ave,25060,40.7472,-73.9433
1316,Plaza St West & Flatbush Ave,25019,40.675,-73.9711
849,E 80 St & 2 Ave,24973,40.7739,-73.9544
1698,Washington St & Barrow St,24953,40.7319,-74.0088
1122,Leonard St & Nassau Ave,24904,40.724,-73.9498
961,Graham Ave & Grand St,24894,40.7119,-73.944
802,E 45 St & 3 Ave,24818,40.7526,-73.9728
1711,West Broadway & Watts St,24815,40.7232,-74.0031
841,E 72 St & Park Ave,24777,40.7712,-73.9641
1061,Jay St & Tech Pl,24774,40.6951,-73.9872
1679,Walker St & Baxter St,24665,40.7174,-73.9996
345,Adam Clayton Powell Blvd & W 126 St,24617,40.8095,-73.9478
107,3 St & 7 Ave,24616,40.6704,-73.9784
946,Fulton St & Waverly Ave,24587,40.6832,-73.966
876,E Houston St & Columbia St,24576,40.7198,-73.9787
285,6 Ave & Canal St,24517,40.7224,-74.0057
1706,Watts St & Greenwich St,24411,40.7241,-74.0097
1665,W 92 St & Broadway,24346,40.7921,-73.9739
1285,Parade Pl & Crooke Ave,24337,40.6518,-73.9652
1536,W 106 St & Amsterdam Ave,24173,40.8008,-73.9664
131,31 St & Newtown Ave,24078,40.7675,-73.9209
836,E 68 St & 3 Ave,23967,40.7671,-73.9622
28,12 Ave & W 125 St,23929,40.8183,-73.9604
1542,W 113 St & Broadway,23720,40.806,-73.9649
656,Devoe St & Lorimer St,23479,40.7134,-73.9491
814,E 51 St & Lexington Ave,23385,40.7571,-73.9721
1367,Riverside Dr & W 91 St,23319,40.7931,-73.977
1034,Hicks St & Montague St,23287,40.6951,-73.996
1206,Monroe St & Bedford Ave,23130,40.6851,-73.9538
1138,Liberty St & Nassau St,23098,40.7086,-74.0094
929,Front St & Jay St,23054,40.7025,-73.9868
1211,Montague St & Clinton St,22951,40.6943,-73.9923
1715,West End Ave & W 78 St,22821,40.7838,-73.9817
471,Broadway & Roebling St,22729,40.7092,-73.9606
283,6 Ave & 9 St,22721,40.6681,-73.9838
21,10 St & 7 Ave,22574,40.6662,-73.982
1273,Old Slip & South St,22473,40.7034,-74.0079
1077,John St & William St,22461,40.7086,-74.0072
1713,West End Ave & W 107 St,22436,40.8021,-73.9682
825,E 58 St & Madison Ave,22336,40.763,-73.9721
609,Columbia St & Rivington St,22307,40.7174,-73.9802
